player,recent_form,role,predicted_points,credits
GC Viljoen,30.4,allrounder,26.209795611050854,7
RM Patidar,12.8,batsman,26.094354089643232,7
DH Yagnik,12.8,batsman,26.094354089643232,7
Akash Deep,4.75,allrounder,26.02703415414887,7
RR Raje,4.75,allrounder,26.02703415414887,7
VR Iyer,29.4,allrounder,25.973901028044803,7
R Ravindra,17.6,allrounder,25.931337003401218,7
PBB Rajapaksa,17.6,batsman,25.931337003401218,7
V Nigam,17.6,allrounder,25.931337003401218,7
SD Hope,17.6,batsman,25.931337003401218,7
AC Thomas,23.6,allrounder,25.92480796416099,7
Anand Rajan,23.6,bowler,25.92480796416099,7
P Dubey,7.75,allrounder,25.865128968253956,7
AD Mascarenhas,49.8,allrounder,25.827544873729693,7
N Wadhera,32.2,allrounder,25.821883794141314,7
JR Hopes,21.6,allrounder,25.780513445848555,7
KA Pollard,21.6,allrounder,25.780513445848555,7
KK Cooper,21.6,allrounder,25.780513445848555,7
A Mishra,21.6,allrounder,25.780513445848555,7
AR Patel,21.6,allrounder,25.780513445848555,7
Mustafizur Rahman,21.6,allrounder,25.780513445848555,7
S Randiv,21.6,allrounder,25.780513445848555,7
Sohail Tanvir,73.4,allrounder,25.64066666666667,7
JH Kallis,15.4,allrounder,25.594456099063194,7
R Sharma,15.4,allrounder,25.594456099063194,7
PP Ojha,15.4,allrounder,25.594456099063194,7
HR Shokeen,15.4,allrounder,25.594456099063194,7
JDP Oram,15.4,allrounder,25.594456099063194,7
K Khejroliya,15.4,bowler,25.594456099063194,7
DS Kulkarni,15.4,allrounder,25.594456099063194,7
I Udana,15.4,allrounder,25.594456099063194,7
A Ashish Reddy,15.4,allrounder,25.594456099063194,7
Washington Sundar,15.4,allrounder,25.594456099063194,7
SK Warne,17.8,allrounder,25.465135317808507,7
R Rampaul,17.8,allrounder,25.465135317808507,7
A Chandila,17.8,allrounder,25.465135317808507,7
DB Ravi Teja,21.6,allrounder,25.413496850340504,7
F du Plessis,21.6,allrounder,25.413496850340504,7
CA Pujara,21.6,batsman,25.413496850340504,7
MJ Santner,39.4,allrounder,25.382647283934908,7
IS Sodhi,22.0,allrounder,25.339869384970164,7
AM Salvi,22.0,bowler,25.339869384970164,7
S Sreesanth,22.0,allrounder,25.339869384970164,7
S Kaul,22.0,allrounder,25.339869384970164,7
M Muralitharan,22.0,allrounder,25.339869384970164,7
KR Sen,22.0,allrounder,25.339869384970164,7
RG Sharma,38.4,allrounder,25.338402041924354,7
GD Phillips,18.666666666666668,allrounder,25.331592985875485,7
JW Hastings,40.5,bowler,25.307322755282488,7
DJ Thornely,27.0,allrounder,25.293144051744918,7
S Sandeep Warrier,27.0,bowler,25.293144051744918,7
MJ McClenaghan,27.0,allrounder,25.293144051744918,7
GD McGrath,27.0,allrounder,25.293144051744918,7
PJ Cummins,49.0,allrounder,25.28836594196592,7
DR Sams,34.0,allrounder,25.259535568354504,7
MC Henriques,23.2,allrounder,25.228336190241993,7
RJ Harris,23.2,allrounder,25.228336190241993,7
RE van der Merwe,23.2,allrounder,25.228336190241993,7
SN Khan,18.4,allrounder,25.15816704551171,7
YV Takawale,21.0,batsman,25.15108509678606,7
C de Grandhomme,18.2,allrounder,25.13032144500049,7
C Munro,18.2,allrounder,25.13032144500049,7
MS Wade,18.2,batsman,25.13032144500049,7
Gurkeerat Singh,28.8,allrounder,25.115662846778623,7
SE Rutherford,28.6,allrounder,25.08133022164157,7
K Gowtham,17.0,allrounder,25.07063613434561,7
Mukesh Choudhary,17.0,allrounder,25.07063613434561,7
D Padikkal,36.4,batsman,25.018761235801662,7
MG Bracewell,39.0,allrounder,25.008277553142694,7
UT Yadav,25.0,allrounder,24.841832401409828,7
SSB Magala,25.0,bowler,24.841832401409828,7
Harshit Rana,25.0,allrounder,24.841832401409828,7
T Henderson,25.0,allrounder,24.841832401409828,7
A Singh,25.0,allrounder,24.841832401409828,7
SN Thakur,25.0,allrounder,24.841832401409828,7
Y Prithvi Raj,25.0,allrounder,24.841832401409828,7
C Nanda,25.0,allrounder,24.841832401409828,7
Harsh Dubey,25.0,bowler,24.841832401409828,7
M Markande,25.0,allrounder,24.841832401409828,7
M Ashwin,25.0,allrounder,24.841832401409828,7
R Sai Kishore,25.0,allrounder,24.841832401409828,7
R Shukla,25.0,allrounder,24.841832401409828,7
RG More,25.0,allrounder,24.841832401409828,7
R McLaren,25.0,allrounder,24.841832401409828,7
R Ninan,25.0,allrounder,24.841832401409828,7
JPR Scantlebury-Searles,25.0,allrounder,24.841832401409828,7
HF Gurney,25.0,allrounder,24.841832401409828,7
Navdeep Saini,25.0,allrounder,24.841832401409828,7
Abdul Samad,18.8,allrounder,24.812021625726228,7
KS Williamson,18.8,allrounder,24.812021625726228,7
AG Murtaza,13.2,allrounder,24.75929260223784,7
A Symonds,13.2,allrounder,24.75929260223784,7
RJW Topley,25.8,allrounder,24.73341598745618,7
J Theron,25.8,allrounder,24.73341598745618,7
S Narwal,25.8,allrounder,24.73341598745618,7
DS Rathi,25.8,allrounder,24.73341598745618,7
M Pathirana,25.8,bowler,24.73341598745618,7
A Badoni,50.2,allrounder,24.70353475690976,7
Shoaib Akhtar,71.5,allrounder,24.690666666666672,7
S Rana,13.8,allrounder,24.543602657736287,7
RV Patel,13.8,allrounder,24.543602657736287,7
DB Das,13.8,batsman,24.543602657736287,7
CA Lynn,44.4,batsman,24.491595970683523,7
Ankit Soni,12.4,allrounder,24.387853155385283,7
Shakib Al Hasan,12.4,allrounder,24.387853155385283,7
DP Conway,22.8,batsman,24.3416015624571,7
Ashutosh Sharma,22.8,batsman,24.3416015624571,7
UBT Chand,22.8,batsman,24.3416015624571,7
CL White,25.0,allrounder,24.31478176285616,7
SO Hetmyer,12.6,batsman,24.301680212027403,7
S Tyagi,6.6,allrounder,24.233628456179694,7
VRV Singh,6.6,allrounder,24.233628456179694,7
JD Ryder,22.6,allrounder,24.14605869409785,7
SC Ganguly,22.6,allrounder,24.14605869409785,7
DJM Short,22.6,allrounder,24.14605869409785,7
JA Morkel,22.6,allrounder,24.14605869409785,7
GB Hogg,17.4,allrounder,24.121815171988274,7
VS Malik,17.4,allrounder,24.121815171988274,7
NB Singh,31.0,bowler,24.10094903951451,7
JJ van der Wath,38.5,allrounder,24.079239110648558,7
V Puthur,38.5,bowler,24.079239110648558,7
Jaskaran Singh,31.2,allrounder,24.048659815052257,7
JP Behrendorff,31.2,allrounder,24.048659815052257,7
RP Meredith,31.2,allrounder,24.048659815052257,7
SJ Srivastava,31.2,allrounder,24.048659815052257,7
P Awana,31.2,allrounder,24.048659815052257,7
JJ Roy,30.8,batsman,24.04660412978899,7
Abhishek Sharma,41.8,allrounder,23.871533267233087,7
Ravi Bishnoi,26.6,allrounder,23.791336397170404,7
Pankaj Singh,26.6,allrounder,23.791336397170404,7
Shoaib Ahmed,26.6,allrounder,23.791336397170404,7
Shahbaz Ahmed,26.6,allrounder,23.791336397170404,7
T Natarajan,26.6,allrounder,23.791336397170404,7
Simarjeet Singh,26.6,allrounder,23.791336397170404,7
BE Hendricks,26.6,allrounder,23.791336397170404,7
P Negi,20.4,allrounder,23.790409347911055,7
Akash Singh,20.4,bowler,23.790409347911055,7
P Kumar,20.4,allrounder,23.790409347911055,7
Rasikh Salam,20.4,allrounder,23.790409347911055,7
SE Marsh,44.8,batsman,23.773695215795506,7
DNT Zoysa,26.0,allrounder,23.77276118176706,7
P Amarnath,30.0,bowler,23.772506925297897,7
