matchId,bowler,runs_conceded,balls_bowled,economy,wickets
336015,SK Trivedi,27,24,6.75,2.0
336015,SK Warne,47,24,11.75,0.0
336015,SR Watson,21,24,5.25,2.0
336015,V Sehwag,21,12,10.5,1.0
336015,VY Mahesh,33,15,13.200000000000001,0.0
336016,A Kumble,35,24,8.75,0.0
336016,DW Steyn,30,12,15.0,0.0
336016,IK Pathan,22,24,5.5,1.0
336016,JR Hopes,22,12,11.0,0.0
336016,P Kumar,15,16,5.625,0.0
336016,PP Chawla,28,24,7.0,2.0
336016,R Vinay Kumar,11,12,5.5,1.0
336016,S Sreesanth,28,24,7.0,3.0
336016,V Kohli,9,6,9.0,0.0
336016,VRV Singh,15,24,3.75,1.0
336016,Yuvraj Singh,13,12,6.5,0.0
336016,Z Khan,35,24,8.75,0.0
336017,A Mishra,13,18,4.333333333333333,0.0
336017,AB Dinda,28,24,7.0,1.0
336017,GD McGrath,22,24,5.5,0.0
336017,I Sharma,18,18,6.0,0.0
336017,Iqbal Abdulla,22,18,7.333333333333334,0.0
336017,LR Shukla,1,5,1.2000000000000002,3.0
336017,MF Maharoof,24,24,6.0,2.0
336017,PJ Sangwan,26,24,6.5,1.0
336017,SC Ganguly,23,24,5.75,0.0
336017,Shoaib Akhtar,10,18,3.3333333333333335,4.0
336017,V Sehwag,7,6,7.0,0.0
336017,VY Mahesh,30,25,7.199999999999999,2.0
336018,A Nehra,30,24,7.5,0.0
336018,CK Kapugedera,26,5,31.200000000000003,0.0
336018,DJ Bravo,37,24,9.25,2.0
336018,DJ Thornely,9,6,9.0,0.0
336018,DS Kulkarni,27,24,6.75,3.0
336018,JA Morkel,42,18,14.0,0.0
336018,Joginder Sharma,21,18,7.0,1.0
336018,L Balaji,6,12,3.0,0.0
336018,M Muralitharan,19,12,9.5,0.0
336018,MS Gony,28,18,9.333333333333334,0.0
336018,RR Raje,32,18,10.666666666666666,0.0
336018,SM Pollock,9,24,2.25,1.0
336019,D Salunkhe,23,18,7.666666666666666,0.0
336019,IK Pathan,10,24,2.5,1.0
336019,JR Hopes,29,18,9.666666666666668,2.0
336019,MM Patel,36,24,9.0,0.0
336019,PP Chawla,35,24,8.75,3.0
336019,Pankaj Singh,46,19,14.526315789473685,0.0
336019,RR Powar,7,6,7.0,0.0
336019,S Sreesanth,43,18,14.333333333333332,1.0
336019,SK Trivedi,48,24,12.0,0.0
